,gvkey,year,sim
225,1728,2002,0.060000000000000005
226,1728,2003,0.11401850117942006
227,1728,2004,0.17085057552343091
228,1728,2005,0.23011657287595252
229,1728,2006,0.2905766724178622
230,1773,2002,0.060000000000000005
231,1773,2003,0.11401850117942006
232,1773,2004,0.17085057552343091
233,1773,2005,0.22928188173875705
234,1773,2006,0.28895337719433534
235,1794,2002,34.07424618772725
236,1794,2003,34.13154809225408
237,1794,2004,34.33472229381433
238,1794,2005,34.503125064650106
239,1794,2006,34.69218077345959
240,1820,2002,0.3209441361999425
241,1820,2003,0.31525258169426734
242,1820,2004,0.35109470755238514
243,1820,2005,0.3819968528009763
244,1820,2006,0.428179536478783
245,1860,2002,1.096954461593014
246,1860,2003,1.1823016563403592
247,1860,2004,1.2624607190086024
248,1860,2005,1.3376380493876059
249,1860,2006,1.4051896383838263
250,1866,2002,0.0517379492794396
251,1866,2003,0.09662379581298958
252,1866,2004,0.15427333154284556
253,1866,2005,0.21199637427824936
254,1866,2006,0.2712416772768205
255,1878,2002,41.39321916129137
256,1878,2003,42.107164725152664
257,1878,2004,42.62788260089948
258,1878,2005,42.982701379930305
259,1878,2006,43.435607760771674
260,1902,2002,0.9181940334123634
261,1902,2003,0.9767940007226699
262,1902,2004,1.026099804072447
263,1902,2005,1.085657647120219
264,1902,2006,1.1581618935839155
265,1913,2002,55.94447734319499
266,1913,2003,55.878799255340724
267,1913,2004,56.1602117478212
268,1913,2005,56.49799983607217
269,1913,2006,56.8119518601321
270,1919,2002,0.060000000000000005
271,1919,2003,0.11401850117942006
272,1919,2004,0.17085057552343091
273,1919,2005,0.22928188173875705
274,1919,2006,0.28895337719433534
275,1920,2002,12.01853285805586
276,1920,2003,12.157625747961141
277,1920,2004,12.313291149411407
278,1920,2005,12.462536555352695
279,1920,2006,12.609215221401493
280,1951,2002,0.060000000000000005
281,1951,2003,0.11401850117942006
282,1951,2004,0.17085057552343091
283,1951,2005,0.22928188173875705
284,1951,2006,0.2888488955729967
285,1968,2002,3.9667409318743996
286,1968,2003,4.084074797589128
287,1968,2004,4.189577988528149
288,1968,2005,4.267848083533322
289,1968,2006,4.364329939687889
290,1976,2002,158.89013431216623
291,1976,2003,160.35592924372847
292,1976,2004,161.83656169255624
293,1976,2005,163.18155054645592
294,1976,2006,164.32730881653058
295,1981,2002,1.0668954696864719
296,1981,2003,1.1268901559627462
297,1981,2004,1.190268128551679
298,1981,2005,1.2551727452390273
299,1981,2006,1.3217880190992493
